year,budget,duration,Action,Comedy,Drama,Sci-Fi,Horror,Romance,Thriller,actor_popularity,director_experience,rating,title
2001.0,41933339.28335508,125.83152904732007,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.88098746890961,21.628441829583114,6.875802744795462,The Dark Dreams
1964.0,16804222.73774989,109.40501121567935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.591000966227001,6.2925438127168185,6.058124484335695,The Dark Knight
2021.0,127200794.09749581,130.15451530385073,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.127002929342914,16.538650919645345,8.9526423677409,The Hidden Paradise
2010.0,51776553.02043465,111.13795769582912,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.019171078503159,24.15475880713455,7.8605563270955265,The Hidden Dreams
1970.0,50417878.75738838,125.05382928808842,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.961474463734827,1.0,7.9694445529542355,The Amazing Knight
2024.0,49276247.3866999,159.5279260682388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.291975877901548,21.286871101951167,8.886484281076932,The Lost Forest
2024.0,55942542.82303565,89.80372304161077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.292658831426747,31.306631877046648,6.900822798086636,The Hidden Hero
1973.0,45669187.642281726,154.19635683387136,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.970077470119853,10.733592002673088,7.031460056602583,The Eternal Forest
1952.0,32790139.793592915,159.51345202019596,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.457448800304326,19.61352117427299,6.971176303413374,The Mystic Legend
1971.0,33594231.76278824,116.45794419026764,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.722704721514095,25.682290645595106,6.715900968058959,The Dark Future
2002.0,49017401.89352004,56.344353029742166,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.6034606551859283,2.2564396143202075,6.490598243715552,The Lost Paradise
1951.0,33697256.86598705,101.76534038716703,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.032344511287856,21.058958068270023,6.903091178715987,The Hidden Future
1979.0,28614626.519685067,158.90983639683327,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.751945003368754,23.190129860782246,8.39333078358869,The Mystic Secrets
1987.0,53192906.8307569,119.31395813103353,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.229781415670717,20.108961759494136,7.164215782193903,The Lost Future
1951.0,42350683.47737434,90.02093303115268,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.881397603056492,15.692981537640973,5.947122338943103,The Mystic Knight
2013.0,95119789.65748066,104.85675236315348,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.39563066039423,6.996697745550989,7.246878513921625,The Amazing Legend
2009.0,-29529094.251790356,145.21860079513658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.74699472345401,26.131386828289948,7.076822073291438,The Dark Secrets
1970.0,82745205.55767386,136.40200704604138,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.08750843426665,15.276028521853261,7.34913680396948,The Shining Journey
1982.0,87382555.77492887,112.83203702490917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.74941496872309,7.768956699011236,6.923603666672082,The Lost Forest
2007.0,-12201706.97224448,108.99526764555938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.7951617986783335,12.455793356683449,5.786495952124286,The Mystic Dreams
1971.0,39719372.177589536,108.24725552868534,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.492347276158087,17.947083930677415,7.3333273719627226,The Frozen Paradise
1998.0,38856774.02012625,92.32769446504493,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.233546199989196,2.5105203449263165,7.493478326827417,The Frozen Future
2008.0,7774649.158465366,168.46127068408325,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.779664148336441,15.143442820672941,7.932402694871245,The Raging Legend
1991.0,26665499.37227374,110.3303859236598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.74950047977023,11.664982263536086,5.695447022731366,The Frozen Secrets
2009.0,16682724.636025134,156.5147556247649,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.342317383246922,25.68821185092791,7.400138406811874,The Shining Hero
1964.0,102568113.30270869,165.63948155767355,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,9.676053706620932,The Shining Legend
2011.0,78070351.79442383,149.9493269444388,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.9978317585549075,22.51006114001987,7.41222401341383,The Hidden Storm
2011.0,88146652.84982476,107.05139061845856,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9588138351929665,26.33675860482012,7.6217472777343405,The Raging Secrets
1996.0,71650161.92129706,132.1119027100983,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.774707366224622,1.0,7.70611493095955,The Eternal Knight
2011.0,16128446.86348312,119.27413180827251,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.901650629148076,1.2625401135433965,7.393043222619183,The Silent Forest
2000.0,34264392.01160679,92.88894417809615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.673951745386479,29.287200372531835,6.673579635751132,The Lost Knight
2004.0,64681236.836837545,129.7307784516481,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.292043013357847,7.765023611176537,6.247411111245483,The Eternal Dreams
2013.0,13336165.733241636,84.62880626520592,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.419546852890246,39.7586329639076,7.878775706737145,The Frozen Storm
1952.0,71389952.90517163,155.6303816538469,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,7.517185377084737,The Mystic Future
2000.0,42790238.05525595,106.06148108104821,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.13507998838341,16.360379239896965,6.477395394436115,The Amazing Paradise
1956.0,38755375.77351207,126.03478967618518,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,14.81285010197826,6.823116889842612,The Eternal Future
1970.0,71328799.04610474,128.49863614638426,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.962092000213228,13.334433859480344,7.975417499702668,The Eternal Journey
2022.0,63327899.344581194,112.23285078887768,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.1360767556049876,18.70369888564626,6.884517008091315,The Mystic Secrets
